bullet_rating,bullet_wins,bullet_losses,bullet_draws,blitz_rating,blitz_wins,blitz_losses,blitz_draws,rapid_rating,rapid_wins,rapid_losses,rapid_draws,daily_rating,daily_wins,daily_losses,daily_draws
1088,70,53,6,1159,978,852,106,1313,25,20,1,965,1,2,0
,,,,1276,24,23,1,,,,,,,,
,,,,,,,,950,1,0,0,,,,
745,16,18,0,1402,1511,1459,133,1248,33,30,1,1510,7,5,1
,,,,1270,738,714,72,,,,,1123,0,1,0
1073,124,139,3,1419,3304,3139,274,1271,11,8,1,921,0,8,0
782,0,2,0,979,454,406,38,803,0,1,0,925,1,1,0
899,2,4,0,824,124,111,7,1217,398,370,28,789,10,13,0
880,1,6,0,1219,23,22,2,1174,0,2,0,,,,
2440,5200,4333,482,2506,8594,7388,1204,2556,29,26,7,2048,195,91,36
837,583,565,6,1020,186,181,9,,,,,1600,30,24,4
614,0,3,0,548,23,26,2,,,,,,,,
824,0,2,0,880,217,171,33,1000,0,1,0,,,,
,,,,1262,573,464,33,1160,3,0,0,Unrated,0,1,0
381,3,6,0,651,32,24,3,1227,2,1,0,632,0,2,0
1638,4006,3719,231,1563,749,563,55,1507,57,31,5,1313,1,3,0
1038,2,6,0,871,11,22,0,1262,20,24,1,1078,1,5,0
,,,,1318,16,15,0,1137,5,8,0,1519,200,113,20
1417,5782,5905,178,1901,821,705,89,,,,,1577,1,7,0
774,0,2,0,908,113,79,9,1029,173,142,11,,,,
,,,,645,9,30,1,,,,,1200,0,1,0
1433,36,35,1,1312,83,88,3,1391,6,14,1,,,,
1186,505,519,29,1524,1360,1262,109,1071,3,1,0,931,2,1,0
1083,5,7,0,1211,72,49,2,1429,79,46,5,1098,22,31,2
981,366,322,12,1066,499,526,29,1030,46,32,1,1279,1,0,0
1191,0,0,1,1622,3248,3155,229,1481,870,797,58,1582,678,381,93
1663,99,58,7,1696,80,49,9,,,,,1758,2662,862,357
1254,1,0,0,1248,11,11,1,1276,4,3,1,2040,91,5,1
1043,58,67,0,1101,120,132,9,1388,3,0,2,803,0,1,0
862,0,1,0,1192,323,300,20,,,,,1200,3,0,1
,,,,1259,1,1,0,827,0,4,0,1248,10,7,0
774,0,5,0,841,45,51,7,867,20,28,2,,,,
1183,23,22,1,1609,359,413,37,1470,3,3,0,1385,51,73,2
,,,,912,16,27,7,,,,,,,,
1228,84,86,3,1655,1020,973,61,1500,22,14,1,763,1,2,0
